Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
IS;1;1;1;1;1;1;0,298477463;0,204201734;0,413654076;0,05402214
IS;1;2;1;1;1;1;0,358287802;0,260783753;0,469112456;0,053854179
IS;1;3;1;1;1;1;0,109769064;0,085209509;0,140321496;0,013983899
IS2;3;3;1;1;1;2;0,51683942;0,449012915;0,584051096;0,034659989
IS3;3;3;1;1;1;3;0,503620413;0,411637184;0,595359225;0,047406106
IS4;3;3;1;1;1;4;0,65839116;0,543083317;0,757588576;0,055467398
C;3;1;1;1;1;1;0,014182085;0,011710097;0,017166844;0,001384061
S;1;1;1;1;1;2;0,994923778;0,98811363;0,997840663;0,002210072
S;1;1;2;1;1;2;0,942466748;0,918908688;0,959482659;0,010195247
S;1;1;3;1;1;2;0,959592093;0,951581373;0,966324366;0,00374382
S;1;1;4;1;1;2;0,958237851;0,938000204;0,972066354;0,008503566
S;1;1;36;1;1;2;0,917958476;0,899636668;0,933183963;0,008519816
S;1;1;38;1;1;2;0,901969527;0,886259016;0,915716388;0,00749846
S;1;1;75;1;1;2;0,940448516;0,928942518;0,9501913;0,005399291
S;1;1;76;1;1;2;0,955867852;0,941613478;0,966765021;0,006347506
S;3;3;36;1;2;2;0,91938997;0,903024137;0,93319819;0,007668334
S;3;3;37;1;2;2;0,986245751;0,964154699;0,994795825;0,006786123
S;3;3;38;1;2;2;0,901537187;0,880665067;0,919094075;0,009768049
S;3;3;39;1;2;2;0,92849929;0,916172965;0,93913351;0,005839894
S;3;3;75;1;2;2;0,869152747;0,851653488;0,884866818;0,008463283
S;3;3;76;1;2;2;0,935944614;0,914324895;0,952392761;0,009610246
S;3;3;77;1;2;2;0,976139892;0,935111553;0,991463235;0,012398808
S;3;3;78;1;2;2;0,890028829;0,858906562;0,91496582;0,014222093
E;1;2;1;1;1;1;1;1;1;0
E;19;4;3;2;1;1;0,999160314;0,999144273;0,999176055;0,000008107
E;19;4;4;2;1;1;0,472450096;0,086898592;0,893925658;0,285074963
E;1;2;5;2;1;1;0,02976603;0,008395967;0,100041241;0,018969498
E;2;2;5;2;1;1;0,004048133;0,000988119;0,016428578;0,002907126
E;19;4;7;2;1;1;0,359806017;0,146178984;0,648505729;0,139698008
E;19;4;8;2;1;1;0,519300143;0,260222648;0,768398376;0,142905456
E;1;2;9;2;1;1;0,014390086;0,004923225;0,041305128;0,007830578
E;2;2;9;2;1;1;0,001930594;0,000563715;0,006589988;0,00121157
E;19;4;11;2;1;1;0,565010159;0,301301237;0,79643355;0,138264018
E;19;4;12;2;1;1;0,305972873;0,147870643;0,528312502;0,101018052
E;1;2;13;2;1;1;0,031168705;0,017768384;0,054118281;0,008870132
E;2;2;13;2;1;1;0,004244195;0,001848062;0,00971683;0,001797892
E;19;4;15;2;1;1;0,574385017;0,301589965;0,808341208;0,142127899
E;19;4;16;2;1;1;0,235755348;0,122739224;0,404814449;0,072681117
E;1;2;17;2;1;1;0,052812239;0,034847466;0,079277597;0,011090617
E;2;2;17;2;1;1;0,007332871;0,003492363;0,015331759;0,002769214
E;19;4;19;2;1;1;0,23642823;0,125947549;0,399523719;0,070453867
E;19;4;20;2;1;1;0,173397928;0,095708118;0,293671314;0,050028017
E;1;2;21;2;1;1;0,033531394;0,022163752;0,050428742;0,007038898
E;2;2;21;2;1;1;0,004575558;0,00218017;0,009577535;0,001728268
E;19;4;23;2;1;1;0,211502657;0,119132962;0,347257428;0,05826502
E;19;4;24;2;1;1;0,451463032;0,309390575;0,601914257;0,076846608
E;1;2;25;2;1;1;0,039656089;0,027296295;0,05728283;0,007505586
E;2;2;25;2;1;1;0,005441085;0,002650456;0,011137119;0,001993547
E;19;4;27;2;1;1;0,312239443;0,190552409;0,466819817;0,071956812
E;19;4;28;2;1;1;0,37198792;0,247912145;0,515590613;0,06985511
E;1;2;29;2;1;1;0,033223472;0,02287988;0,048013446;0,00628695
E;2;2;29;2;1;1;0,004532293;0,002207553;0,009282409;0,001661237
E;19;4;31;2;1;1;0,145231179;0,079449436;0,250648364;0,042900624
E;19;4;32;2;1;1;0,491180293;0,329010937;0,655227307;0,086373545
E;1;2;33;2;1;1;0,04791877;0,034437726;0,06631468;0,008016883
E;2;2;33;2;1;1;0,006623953;0,003293375;0,013277865;0,002357167
E;19;4;35;2;1;1;0,319793854;0,185734475;0,492133089;0,080268008
E;19;4;36;2;1;1;0,695847966;0,532644657;0,821191711;0,075245647
E;1;2;37;2;1;1;0,011020903;0,006616075;0,018304324;0,002862413
E;2;2;37;2;1;1;0,001474217;0,00066663;0,003256963;0,00059667
E;19;4;37;2;1;1;0,245533118;0,175703758;0,331938951;0,039993519
E;19;4;39;2;1;1;0,115641619;0,077255181;0,169595859;0,023264668
E;19;4;40;2;1;1;0,4807802;0,359264546;0,604612976;0,06389022
E;1;2;41;2;1;1;0,043417168;0,031074123;0,060357616;0,007359242
