Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
IS;1;1;1;1;1;1;0,173007071;0,133324699;0,221482058;0,022440479
IS;1;2;1;1;1;1;0,131166598;0,093157307;0,181578886;0,022385163
IS;1;3;1;1;1;1;0,152876668;0,110612299;0,207521962;0,02459857
C;3;1;1;1;1;1;0,110614979;0,067925077;0,175094713;0,026830104
C;3;1;2;2;1;1;0,045520978;0,028993212;0,070783683;0,010380706
C;3;1;4;4;1;1;0,127551122;0,102619626;0,157476804;0,013947917
S;1;1;1;1;1;2;0,875090526;0,842736079;0,901566066;0,014946611
S;3;3;1;1;1;2;0,871825488;0,848912305;0,891707056;0,010895279
S;1;1;9;1;1;2;0,794528429;0,77742573;0,810637052;0,008471982
S;3;3;9;1;1;2;0,757338458;0,741406365;0,772590045;0,007956002
S;1;1;19;1;1;2;0,816938308;0,798966099;0,833638369;0,008842944
S;3;3;19;1;1;2;0,689476244;0,669602706;0,708674466;0,009971226
S;1;1;28;1;1;2;0,733791237;0,490476987;0,887552791;0,104850672
S;1;1;29;1;1;2;0,582249177;0,270878593;0,83945738;0,164082271
E;1;2;1;1;1;1;1;1;1;0
E;1;2;2;2;1;1;0,025191328;0,002782433;0,193123681;0,027888193
E;2;2;2;2;1;1;0,003933522;0,000402375;0,037296944;0,004564618
E;3;3;2;2;1;1;0,129223625;0,043142462;0,328156517;0,068393658
E;4;3;2;2;1;1;0,02304731;0,007081262;0,072387416;0,013742968
E;5;4;2;2;1;1;0,416448041;0,1539299;0,736792058;0,169460313
E;6;4;2;2;1;1;0,583095523;0,265755952;0,843862277;0,167655886
E;1;2;3;2;1;1;0,026369812;0,007357346;0,090055952;0,016974734
E;2;2;3;2;1;1;0,004121743;0,001026025;0,016404466;0,002918748
E;3;3;3;2;1;1;0,01100337;0,00122484;0,091682779;0,012243861
E;4;3;3;2;1;1;0,001765529;0,00019435;0,015837325;0,001985515
E;5;4;3;2;1;1;0,223822442;0,118678101;0,381768557;0,067494298
E;6;4;3;2;1;1;0,361083959;0,213030605;0,541263045;0,086641788
E;1;2;4;2;1;1;0,037180102;0,017519202;0,077172294;0,01411254
E;2;2;4;2;1;1;0,005866403;0,002339727;0,01463089;0,002745643
E;3;3;4;2;1;1;0,074832379;0,038028542;0,141997113;0,025288353
E;4;3;4;2;1;1;0,012694977;0,006210209;0,025775578;0,004614224
E;5;4;4;2;1;1;0,274128815;0,176596363;0,399399203;0,057441431
E;6;4;4;2;1;1;0,425335345;0,298494781;0,56283071;0,069033547
