Index;Value;Cl-;Cl+;SE ;beta
1;0,243159107;-0,091157818;0,577476032;0,17056986;IS1
2;0,429972507;0,221809547;0,638135467;0,106205592;IS1
3;-0,755301883;-1,140172029;-0,370431738;0,196362319;IS1
4;0,066469756;-0,181592958;0,314532469;0,126562609;IS2
5;0,01588452;-0,502972615;0,534741655;0,264723028;IS3
6;0,655186834;0,146629066;1,163744602;0,259468249;IS4
7;-4,246445007;-4,403589578;-4,089300437;0,080175801;perte_col
8;5,505759667;3,811146591;7,200372744;0,864598509;S_ete_d1
9;4,389351367;2,973904206;5,804798528;0,722166919;S_ete_d2
10;5,300973185;3,972502934;6,629443435;0,677790944;S_ete_d3
11;2,892410724;2,435938922;3,348882526;0,232893777;S_aut_d1
12;2,219866375;1,889776703;2,549956048;0,168413098;S_aut_d2
13;2,208049518;1,953237735;2,462861301;0,130006012;S_aut_d3
14;3,013203301;2,604029692;3,422376911;0,208762046;S_hiv_d1
15;3,266192663;2,940561186;3,59182414;0,166138508;S_hiv_d2
16;2,770983602;2,590164491;2,951802712;0,092254648;S_hiv_d3
17;3,182564048;2,67268329;3,692444805;0,260143243;S_prin_d1
18;2,440164933;2,157970864;2,722359001;0,143976566;S_prin_d2
19;3,081863588;2,816830052;3,346897124;0,135221192;S_prin_d3
20;-0,098302842;-0,81639456;0,619788877;0,366373326;col_ete_d2
21;-1,589048933;-2,802677546;-0,375420321;0,619198272;col_ete_d3
22;-0,042632252;-0,279006406;0,193741902;0,120599058;col_aut_d2
23;-0,130959649;-0,372823193;0,110903896;0,123399768;col_aut_d3
24;-0,650473268;-0,894448198;-0,406498339;0,124477005;col_hiv_d2
25;-0,870995083;-1,057037015;-0,68495315;0,094919353;col_hiv_d3
26;-0,020370911;-0,265608919;0,224867097;0,125121433;col_prin_d2
27;-0,399284125;-0,716719656;-0,081848595;0,161956903;col_prin_d3
28;-2,018645086;-2,60786118;-1,429428993;0,300620456;pcap_heterog.
29;0,99879089;0,856505955;1,141075826;0,072594355;pcap_sex
30;-3,479858436;-4,764097973;-2,195618898;0,655224254;pcap
31;-4,224302788;-5,303278907;-3,145326669;0,55049802;pcap
32;-3,434512755;-3,994041774;-2,874983736;0,285473989;pcap
33;-2,8843081;-3,300286111;-2,46833009;0,212233679;pcap
34;-3,35865522;-3,763086233;-2,954224207;0,206342354;pcap
35;-3,184225262;-3,548649221;-2,819801304;0,185930591;pcap
36;-3,367672934;-3,730172887;-3,005172981;0,184948956;pcap
37;-2,985698151;-3,304195779;-2,667200523;0,16249879;pcap
38;-4,493884806;-5,010364981;-3,977404631;0,263510293;pcap
39;-3,09029545;-3,423485219;-2,757105681;0,16999478;pcap
40;-3,353445382;-3,70309395;-3,003796814;0,178392126;pcap
41;-3,747780715;-4,141983896;-3,353577535;0,201124072;pcap
42;-3,106297689;-3,430626006;-2,781969372;0,165473631;pcap
43;-3,278971802;-3,626851238;-2,931092366;0,177489508;pcap
44;-2,696948372;-3,003775975;-2,390120769;0,156544695;pcap
45;-2,881012223;-3,198568796;-2,56345565;0,16201866;pcap
46;-3,26827244;-3,60156988;-2,934974999;0,170049714;pcap
47;-3,738604351;-4,113707759;-3,363500944;0,191379289;pcap
48;-2,926655202;-3,232001691;-2,621308713;0,155789025;pcap
49;-3,647286129;-4,007789241;-3,286783017;0,183930159;pcap
50;-3,406259768;-3,731806402;-3,080713134;0,166095221;pcap
51;-3,697315497;-4,064465204;-3,33016579;0,187321279;pcap
52;-3,141006648;-3,454727173;-2,827286124;0,160061492;pcap
53;-4,015603812;-4,420882677;-3,610324947;0,206774931;pcap
54;-3,712363121;-4,09477173;-3,329954512;0,195106433;pcap
55;-3,096901623;-3,424018313;-2,769784933;0,16689627;pcap
56;-3,152477317;-3,477969816;-2,826984817;0,166067602;pcap
57;-3,493996304;-3,853761807;-3,134230801;0,183553828;pcap
58;-3,631657464;-4,007079631;-3,256235296;0,191541922;pcap
59;7,039281875;6,9067557;7,171808049;0,067615395;recov
60;-0,366802769;-2,935509165;2,201903627;1,310564488;recov
61;-0,425701151;-1,866124932;1,014722629;0,734910092;recov
62;-0,210576024;-2,344405551;1,923253504;1,088688535;recov
63;0,488958856;-0,972664036;1,950581748;0,745725965;recov
64;-1,028448151;-2,142506662;0,08561036;0,5683972;recov
65;0,532871943;-0,9578409;2,023584785;0,760567777;recov
66;-1,367553805;-2,342251067;-0,392856544;0,497294521;recov
67;-1,049730712;-1,987176033;-0,11228539;0,478288429;recov
