Index;Value;Cl-;Cl+;SE ;beta;t
1;0,233541498;-0,140092951;0,607175948;0,190629821;IS1;
2;0,434233845;0,157966201;0,71050149;0,14095288;IS1;
3;-0,76161491;-1,244522501;-0,278707319;0,246381424;IS1;
4;0,0725189;-0,222034218;0,367072018;0,150282203;IS2;
5;0,013315179;-0,475438747;0,502069105;0,249364248;IS3;
6;0,65391616;-0,086252044;1,394084365;0,377636839;IS4;
7;-4,271764649;-4,466593795;-4,076935504;0,099402625;perte_col;
8;2,542312854;-0,035343414;5,119969122;1,315130749;S_ete;1990
9;10,36634105;9,993385303;10,73929679;0,190283542;S_ete;1991
10;2,087952976;1,003521726;3,172384226;0,55328125;S_ete;1992
11;10,70103312;10,36407546;11,03799079;0,171917176;S_ete;1993
12;2,845715521;1,797206954;3,894224088;0,534953351;S_ete;1994
13;3,09182138;1,727149728;4,456493032;0,696261047;S_ete;1995
14;11,44097424;9,3858153;13,49613317;1,048550477;S_ete;1996
15;4,438800147;1,282338867;7,595261428;1,610439429;S_ete;1997
16;5,140102143;1,822786559;8,457417726;1,692507951;S_ete;1998
17;4,739669553;0,909868398;8,569470708;1,953980181;S_ete;1999
18;11,47670998;6,526372572;16,42704739;2,525682353;S_ete;2000
19;11,9250525;9,890166924;13,95993807;1,038206925;S_ete;2001
20;2,924160233;1,897715621;3,950604845;0,523696231;S_ete;2002
21;2,37483133;1,55158529;3,19807737;0,42002349;S_ete;2003
22;4,132417708;1,269803025;6,995032391;1,460517695;S_ete;2004
23;4,001498663;1,257926574;6,745070753;1,399781678;S_ete;2005
24;3,380358943;2,114438831;4,646279055;0,645877608;S_ete;2006
25;4,920706691;1,427361319;8,414052062;1,782319067;S_ete;2007
26;3,358392328;1,715576087;5,001208568;0,838171551;S_ete;2008
27;3,233908392;1,67420864;4,793608144;0,79576518;S_ete;2009
28;3,836450241;1,585041733;6,08785875;1,148677811;S_ete;2010
29;11,15696378;9,406184771;12,9077428;0,893254598;S_ete;2011
30;11,19091236;7,442314332;14,93951039;1,912550014;S_ete;2012
31;2,813930106;1,528803766;4,099056445;0,655676704;S_ete;2013
32;2,32151103;1,118248064;3,524773996;0,613909677;S_ete;2014
33;3,026234577;1,195093516;4,857375639;0,934255644;S_ete;2015
34;3,614805494;1,530139049;5,699471939;1,063605329;S_ete;2016
35;3,172916691;1,686085946;4,659747436;0,758587115;S_ete;2017
36;2,013516518;0,947944964;3,079088072;0,543658956;S_ete;2018
37;1,154544792;0,077137424;2,231952161;0,549697637;S_ete;2019
38;1,73235266;0,632965565;2,831739756;0,560911783;s_fall;1990
39;3,051068537;1,986623438;4,115513636;0,543084234;s_fall;1991
40;2,450032055;1,502167862;3,397896248;0,48360418;s_fall;1992
41;2,622416342;1,821014006;3,423818678;0,408878743;s_fall;1993
42;3,455553693;2,530067079;4,381040308;0,472187048;s_fall;1994
43;3,592407686;2,680686893;4,504128479;0,46516367;s_fall;1995
44;3,302639777;2,472222562;4,133056991;0,423682252;s_fall;1996
45;4,084648515;3,145787786;5,023509244;0,479010576;s_fall;1997
46;3,183071223;2,294333725;4,071808721;0,453437499;s_fall;1998
47;2,83569199;2,190142428;3,481241553;0,329362022;s_fall;1999
48;2,318675589;1,791584221;2,845766957;0,268924167;s_fall;2000
49;2,690190681;2,119820821;3,260560541;0,291005031;s_fall;2001
50;2,478433711;1,823725022;3,133142399;0,334035045;s_fall;2002
51;2,131016815;1,58051884;2,681514789;0,280866313;s_fall;2003
52;2,268700972;1,698063173;2,839338772;0,291141734;s_fall;2004
53;2,23495436;1,659497562;2,810411159;0,293600408;s_fall;2005
54;2,238719256;1,655569046;2,821869466;0,297525617;s_fall;2006
55;2,318486262;1,755165562;2,881806962;0,28740852;s_fall;2007
56;2,18884059;1,75056954;2,627111639;0,223607678;s_fall;2008
57;2,233807627;1,781244458;2,686370796;0,230899576;s_fall;2009
58;2,438588083;1,940315022;2,936861145;0,25422095;s_fall;2010
59;2,161719486;1,713387871;2,610051102;0,22874062;s_fall;2011
60;2,720644466;2,145631364;3,295657567;0,293374031;s_fall;2012
61;2,588071982;2,026493911;3,149650053;0,286519424;s_fall;2013
62;2,150237525;1,563071021;2,737404029;0,299574747;s_fall;2014
63;2,036160142;1,513788051;2,558532232;0,266516373;s_fall;2015
64;2,263724918;1,772722851;2,754726984;0,250511259;s_fall;2016
65;2,389396135;1,848549149;2,93024312;0,27594234;s_fall;2017
66;2,474333992;1,819981958;3,128686027;0,333853079;s_fall;2018
67;13,35952772;11,19134932;15,52770611;1,106213467;s_fall;2019
68;2,603790335;1,244885738;3,962694931;0,693318672;s_wint;1990
69;2,802363579;1,874315683;3,730411476;0,473493825;s_wint;1991
70;3,160849413;2,220354074;4,101344753;0,479844561;s_wint;1992
71;3,634861494;2,755161737;4,514561251;0,448826407;s_wint;1993
72;3,857734657;2,936250705;4,779218609;0,470144874;s_wint;1994
73;2,849027277;2,066021731;3,632032823;0,399492625;s_wint;1995
74;3,247966691;2,518843178;3,977090205;0,372001793;s_wint;1996
75;2,931924685;2,211033563;3,652815807;0,367801593;s_wint;1997
76;2,869462363;2,426814621;3,312110106;0,225840685;s_wint;1998
77;3,304356997;2,774257383;3,834456611;0,270458987;s_wint;1999
78;3,189098387;2,691269595;3,686927179;0,253994282;s_wint;2000
79;2,852605597;2,360499837;3,344711357;0,251074367;s_wint;2001
80;2,746900843;2,211694399;3,282107287;0,273064512;s_wint;2002
81;3,424672996;2,868466491;3,980879501;0,283778829;s_wint;2003
82;3,060522508;2,543699167;3,57734585;0,263685378;s_wint;2004
